id,url,marca,modelo,version,año,entidad,traccion,condicion,kilometraje,transmision,combustible,moneda,precio,precio_previo,primera_vez,ultima_vez,veces_visto,activo,telefono,whatsapp
CP-AD-8535176,https://www.chileautos.cl/vehiculos/detalles/2024-hyundai-tucson-2-0-nx4-plus-2wd-at-5p/CP-AD-8535176,hyundai,tucson,2.0 nx4 plus 2wd at 5p.,2024,Automotora,4x2,used,44100,automatica,bencina,CLP,18390000,,2026-07-07,2026-07-07,1,1,+56226586365,+56226586365
GI-AD-855475,https://www.chileautos.cl/vehiculos/detalles/volvo-s90-2-0-t8-inscription-4x4-at-4p-2020/GI-AD-855475,volvo,s90,t8 inscription 4x4 at 4p 2020,2020,Automotora,4x4,used,41000,automatica,híbrido,CLP,24990000,,2026-07-07,2026-07-08,5,1,+56226568865,No disponible
GI-AD-889136,https://www.chileautos.cl/vehiculos/detalles/nissan-x-trail-sense-2-5-at-4x2-3f-2023/GI-AD-889136,nissan,x-trail,2.5 at 4x2 3f 2023,2023,Automotora,4x2,used,29000,automatica,bencina,CLP,20990000,,2026-07-07,2026-07-08,5,1,+56226568865,+56226568865
GI-AD-913844,https://www.chileautos.cl/vehiculos/detalles/hyundai-staria-us4-mb-2-2-crdi-at-2024/GI-AD-913844,hyundai,staria,mb 2.2 crdi at 2024,2024,Automotora,4x2,used,97785,automatica,diesel,CLP,26590000,,2026-07-07,2026-07-08,5,1,+56226564755,+56226564755
CP-AD-8474500,https://www.chileautos.cl/vehiculos/detalles/2026-ford-territory-ford-territory-titanium-1-5-a-t/CP-AD-8474500,ford,territory,ford territory titanium 1.5 a/t,2026,Automotora,4x2,used,0,automatica,bencina,CLP,20590000,,2026-07-07,2026-07-08,5,1,+56226566257,+56226566257
CP-AD-8512697,https://www.chileautos.cl/vehiculos/detalles/2026-chevrolet-sail-hb-1-5l-ltz-cvt/CP-AD-8512697,chevrolet,sail hb,hb 1.5l ltz cvt,2026,Automotora,4x2,used,0,automatica,bencina,CLP,11890000,,2026-07-07,2026-07-08,5,1,+56226587084,+56226587084
CP-AD-8539700,https://www.chileautos.cl/vehiculos/detalles/2021-volkswagen-polo-1-6-comfortline-4x2-at6-5p/CP-AD-8539700,volkswagen,polo,1.6 comfortline 4x2 at6 5p.,2021,Automotora,4x2,used,82000,automatica,bencina,CLP,10990000,,2026-07-07,2026-07-08,5,1,+56226586326,+56226586326
CP-AD-8534472,https://www.chileautos.cl/vehiculos/detalles/2016-volvo-xc60-2-5-t5-awd-comfort-at-5p/CP-AD-8534472,volvo,xc60,2.5 t5 awd comfort at 5p.,2016,Automotora,4x2,used,114000,automatica,bencina,CLP,12990000,,2026-07-07,2026-07-08,5,1,+56226586172,+56226586172
CP-AD-8540823,https://www.chileautos.cl/vehiculos/detalles/2025-chevrolet-silverado-6-2-zr2-r-4x4-at-4p/CP-AD-8540823,chevrolet,silverado,6.2 zr2 r 4x4 at 4p.,2025,Automotora,4x4,used,23000,automatica,bencina,CLP,39500000,,2026-07-07,2026-07-08,5,1,+56228691842,+56228691842
CP-AD-8482407,https://www.chileautos.cl/vehiculos/detalles/2026-chevrolet-spark-euv-electrico-active-4x2-at-5p/CP-AD-8482407,chevrolet,spark euv,euv electrico active 4x2 at 5p.,2026,Automotora,4x2,used,0,automatica,eléctrico,CLP,17990000,,2026-07-07,2026-07-08,5,1,+56226587084,+56226587084
CP-AD-8514863,https://www.chileautos.cl/vehiculos/detalles/2026-chevrolet-colorado-colorado-2-8l-worktruck/CP-AD-8514863,chevrolet,colorado,colorado 2.8l worktruck,2026,Automotora,4x2,used,0,manual,diesel,CLP,26050000,,2026-07-07,2026-07-08,5,1,+56226587084,+56226587084
CP-AD-8481586,https://www.chileautos.cl/vehiculos/detalles/2026-chevrolet-silverado-5-3-lt-r-trail-boss-z71-4x4-at-4p/CP-AD-8481586,chevrolet,silverado,5.3 lt r trail boss z71 4x4 at 4p.,2026,Automotora,4x4,used,0,automatica,bencina,CLP,39900000,,2026-07-07,2026-07-08,5,1,+56226587084,+56226587084
CP-AD-8526619,https://www.chileautos.cl/vehiculos/detalles/2021-porsche-cayenne-coupe-3-0-v6-auto-4x4-at/CP-AD-8526619,porsche,cayenne coupe,coupe 3.0 v6 auto 4x4 at,2021,Automotora,4x4,used,53000,automatica,bencina,CLP,59890000,,2026-07-07,2026-07-08,5,1,+56228691842,+56228691842
CP-AD-8536330,https://www.chileautos.cl/vehiculos/detalles/2025-ford-bronco-2-7-wildtrak-4wd-at-5p/CP-AD-8536330,ford,bronco,2.7 wildtrak 4wd at 5p.,2025,Automotora,4x4,used,37250,automatica,bencina,CLP,48860000,,2026-07-07,2026-07-08,5,1,+56228698671,+56228698671
CP-AD-8538610,https://www.chileautos.cl/vehiculos/detalles/2020-peugeot-3008-1-6-allure-4x2-thp-165-eat6-5p/CP-AD-8538610,peugeot,3008,1.6 allure 4x2 thp 165 eat6 5p.,2020,Automotora,4x2,used,65382,automatica,bencina,CLP,13590000,,2026-07-07,2026-07-08,4,1,+56228698680,+56228698680
CP-AD-8541136,https://www.chileautos.cl/vehiculos/detalles/2014-porsche-boxster-2-7-4x2-pdk-at-2p/CP-AD-8541136,porsche,boxster,2.7 4x2 pdk at 2p.,2014,Automotora,4x2,used,78000,automatica,bencina,CLP,38690000,,2026-07-07,2026-07-08,5,1,+56228691842,+56228691842
CP-AD-8541808,https://www.chileautos.cl/vehiculos/detalles/2023-lexus-ux250h-2-0-h-plus-4x2-at-5p/CP-AD-8541808,lexus,ux250h,2.0 h plus 4x2 at 5p.,2023,Automotora,4x2,used,48100,automatica,híbrido,CLP,26980000,,2026-07-07,2026-07-07,1,1,+56228691830,+56228691830
CP-AD-8542966,https://www.chileautos.cl/vehiculos/detalles/2023-mazda-cx-5-2-0-core-2wd-at-5p/CP-AD-8542966,mazda,cx-5,2.0 core 2wd at 5p.,2023,Automotora,4x2,used,77851,automatica,bencina,CLP,18490000,,2026-07-07,2026-07-07,1,1,+56228698645,+56228698645
CP-AD-8482821,https://www.chileautos.cl/vehiculos/detalles/2026-chevrolet-groove-1-5-ltz-s-4x2-mt-5p/CP-AD-8482821,chevrolet,groove,1.5 ltz s 4x2 mt 5p.,2026,Automotora,4x2,used,0,manual,bencina,CLP,11990000,,2026-07-07,2026-07-08,5,1,+56226587084,+56226587084
CP-AD-8529762,https://www.chileautos.cl/vehiculos/detalles/2024-hyundai-santa-fe-2-5-mx5-plus-2wd-at-5p/CP-AD-8529762,hyundai,santa fe,fe 2.5 mx5 plus 2wd at 5p.,2024,Automotora,4x2,used,55000,automatica,bencina,CLP,22490000,,2026-07-07,2026-07-08,5,1,+56228697197,+56228697197
CP-AD-8541354,https://www.chileautos.cl/vehiculos/detalles/2024-volvo-xc60-2-0-b5-plus-hybrid-awd-at-5p/CP-AD-8541354,volvo,xc60,2.0 b5 plus hybrid awd at 5p.,2024,Automotora,4x2,used,62500,automatica,híbrido,CLP,36490000,,2026-07-07,2026-07-08,5,1,+56228691833,+56228691833
CP-AD-8542329,https://www.chileautos.cl/vehiculos/detalles/2024-porsche-cayenne-4-0-s-4x4-at-5p/CP-AD-8542329,porsche,cayenne,4.0 s 4x4 at 5p.,2024,Automotora,4x4,used,18700,automatica,bencina,CLP,108900000,,2026-07-07,2026-07-08,5,1,+56228691844,+56228691844
CP-AD-8396839,https://www.chileautos.cl/vehiculos/detalles/2025-chevrolet-sail-sedan/CP-AD-8396839,chevrolet,sail,sedan,2025,Automotora,4x2,used,0,manual,bencina,CLP,10690000,,2026-07-07,2026-07-08,5,1,+56226587084,+56226587084
CP-AD-8518902,https://www.chileautos.cl/vehiculos/detalles/2024-mitsubishi-xpander-1-5-glx-4x2-at-5p/CP-AD-8518902,mitsubishi,xpander,1.5 glx 4x2 at 5p.,2024,Automotora,4x2,used,30800,automatica,bencina,CLP,13990000,,2026-07-07,2026-07-08,5,1,+56226586172,+56226586172
CP-AD-8531783,https://www.chileautos.cl/vehiculos/detalles/2025-chevrolet-silverado-3-0-high-country-4x4-at-4p/CP-AD-8531783,chevrolet,silverado,3.0 high country 4x4 at 4p.,2025,Automotora,4x4,used,24600,automatica,diesel,CLP,56980000,,2026-07-07,2026-07-07,1,1,+56228691830,+56228691830
CP-AD-8538292,https://www.chileautos.cl/vehiculos/detalles/2018-mercedes-benz-glc-43-amg-3-0-amg-4wd-at-5p/CP-AD-8538292,mercedes-benz,glc 43 amg,43 amg 3.0 amg 4wd at 5p.,2018,Automotora,4x4,used,58768,automatica,bencina,CLP,35950000,,2026-07-07,2026-07-08,5,1,+56226567558,+56226567558
CP-AD-8543374,https://www.chileautos.cl/vehiculos/detalles/2026-peugeot-landtrek-landtrek-mca-action4-diesel-200hp-4x4-at/CP-AD-8543374,peugeot,landtrek,landtrek mca action4 diesel 200hp 4x4 at,2026,Automotora,4x4,used,0,automatica,diesel,CLP,22590000,,2026-07-07,2026-07-08,5,1,+56226564736,+56226564736
CP-AD-8543208,https://www.chileautos.cl/vehiculos/detalles/2024-ford-territory-1-5-trend-4x2-at-5p/CP-AD-8543208,ford,territory,1.5 trend 4x2 at 5p.,2024,Automotora,4x2,used,7850,automatica,bencina,CLP,14990000,,2026-07-07,2026-07-08,5,1,+56226586172,+56226586172
CP-AD-8534239,https://www.chileautos.cl/vehiculos/detalles/2023-kia-niro-kia-niro-electrico/CP-AD-8534239,kia,niro,kia niro electrico,2023,Automotora,4x2,used,36000,automatica,eléctrico,CLP,26860000,,2026-07-07,2026-07-08,5,1,+56228698671,+56228698671
CP-AD-8538581,https://www.chileautos.cl/vehiculos/detalles/2022-maxus-t60-2-0-d20-glx-diesel-dob-cab-4x4-at-4p/CP-AD-8538581,maxus,t60,2.0 d20 glx diesel dob. cab. 4x4 at 4p.,2022,Automotora,4x4,used,56500,automatica,diesel,CLP,14990000,,2026-07-07,2026-07-08,5,1,+56228691833,+56228691833
CP-AD-8543004,https://www.chileautos.cl/vehiculos/detalles/2021-mazda-cx-5-2-5-gt-awd-car-audio-ipm-6at-5p/CP-AD-8543004,mazda,cx-5,2.5 gt awd car audio ipm 6at 5p.,2021,Automotora,4x2,used,47491,automatica,bencina,CLP,21490000,,2026-07-07,2026-07-08,5,1,+56226586963,+56226586963
CP-AD-8484338,https://www.chileautos.cl/vehiculos/detalles/2026-ford-ranger-raptor-ranger-raptor-3-0-4wd/CP-AD-8484338,ford,ranger raptor,raptor ranger raptor 3.0 4wd,2026,Automotora,4x4,used,0,automatica,bencina,CLP,56330000,,2026-07-07,2026-07-08,5,1,+56226566257,+56226566257
CP-AD-8536432,https://www.chileautos.cl/vehiculos/detalles/2022-chevrolet-onix-1-0t-lt-4x2-mt-4p/CP-AD-8536432,chevrolet,onix,1.0t lt 4x2 mt 4p.,2022,Automotora,4x2,used,59000,manual,bencina,CLP,7990000,,2026-07-07,2026-07-08,5,1,+56228697197,+56228697197
CP-AD-8530151,https://www.chileautos.cl/vehiculos/detalles/2026-subaru-crosstrek-2-0-touring-es-awd-hk-360-cvt-at-5p/CP-AD-8530151,subaru,crosstrek,2.0 touring es awd hk 360 cvt at 5p.,2026,Automotora,4x2,used,0,automatica,bencina,CLP,30390000,,2026-07-07,2026-07-07,1,1,+56228698405,+56228698405
CP-AD-8538183,https://www.chileautos.cl/vehiculos/detalles/2024-peugeot-2008-1-5-gt-line-bluehdi-130-diesel-4x2-eat8-5p/CP-AD-8538183,peugeot,2008,1.5 gt line bluehdi 130 diesel 4x2 eat8 5p.,2024,Automotora,4x2,used,30000,automatica,diesel,CLP,18990000,,2026-07-07,2026-07-08,5,1,+56226586948,+56226586948
CP-AD-8481570,https://www.chileautos.cl/vehiculos/detalles/2026-chevrolet-tahoe-5-3-z71-4wd-at-5p/CP-AD-8481570,chevrolet,tahoe,5.3 z71 4wd at 5p.,2026,Automotora,4x4,used,0,automatica,bencina,CLP,59990000,,2026-07-07,2026-07-08,5,1,+56226587084,+56226587084
CP-AD-8532938,https://www.chileautos.cl/vehiculos/detalles/2025-ford-f-150-3-5-platinum-auto-ecoboost-4wd/CP-AD-8532938,ford,f-150,3.5 platinum auto ecoboost 4wd,2025,Automotora,4x4,used,20400,automatica,bencina,CLP,56990000,,2026-07-07,2026-07-08,5,1,+56228698675,+56228698675
CP-AD-8535038,https://www.chileautos.cl/vehiculos/detalles/2023-mazda-cx-5-2-0-core-2wd-at-5p/CP-AD-8535038,mazda,cx-5,2.0 core 2wd at 5p.,2023,Automotora,4x2,used,57000,automatica,bencina,CLP,18890000,,2026-07-07,2026-07-08,5,1,+56228691837,+56228691837
CP-AD-8535039,https://www.chileautos.cl/vehiculos/detalles/2023-ford-ranger-3-2-xlt-4x4-diesel-dob-cab-at-4p/CP-AD-8535039,ford,ranger,3.2 xlt 4x4 diesel dob. cab. at 4p.,2023,Automotora,4x4,used,119000,automatica,diesel,CLP,21990000,,2026-07-07,2026-07-08,5,1,+56228691837,+56228691837
GI-AD-882341,https://www.chileautos.cl/vehiculos/detalles/volkswagen-tiguan-2022-r-line/GI-AD-882341,volkswagen,tiguan,r-line,2022,Automotora,4x2,used,131561,automatica,bencina,CLP,21990000,,2026-07-07,2026-07-08,5,1,+56228691628,+56228691628
CP-AD-8540686,https://www.chileautos.cl/vehiculos/detalles/2018-mercedes-benz-a-200-1-6-fl-4x2-hb-at-5p/CP-AD-8540686,mercedes-benz,a 200,200 1.6 fl 4x2 hb at 5p.,2018,Automotora,4x2,used,120000,automatica,bencina,CLP,15600000,,2026-07-07,2026-07-08,5,1,No disponible,+56949958924
GI-AD-914756,https://www.chileautos.cl/vehiculos/detalles/mazda-cx-3-2018-r-2-0/GI-AD-914756,mazda,cx-3,r 2.0,2018,Automotora,4x2,used,74813,automatica,bencina,CLP,12990000,,2026-07-07,2026-07-08,5,1,+56226586137,+56226586137
CP-AD-8530334,https://www.chileautos.cl/vehiculos/detalles/2023-chevrolet-silverado-5-3-lt-trail-boss-z71-4x4-at-4p/CP-AD-8530334,chevrolet,silverado,5.3 lt trail boss z71 4x4 at 4p.,2023,Automotora,4x4,used,29590,automatica,bencina,CLP,34990000,,2026-07-07,2026-07-08,5,1,+56226568948,+56226568948
CP-AD-8540168,https://www.chileautos.cl/vehiculos/detalles/2022-audi-q5-2-0-tfsi-45-sportback-quattro-4x4-at-5p/CP-AD-8540168,audi,q5,2.0 tfsi 45 sportback quattro 4x4 at 5p.,2022,Automotora,4x4,used,104700,automatica,bencina,CLP,32990000,,2026-07-07,2026-07-07,1,1,+56226586986,+56226586986
CP-AD-8540341,https://www.chileautos.cl/vehiculos/detalles/2024-subaru-outback-2-4t-touring-awd-cvt-at-5p/CP-AD-8540341,subaru,outback,2.4t touring awd cvt at 5p.,2024,Automotora,4x2,used,59259,automatica,bencina,CLP,30950000,,2026-07-07,2026-07-08,5,1,+56226567558,+56226567558
CP-AD-8540483,https://www.chileautos.cl/vehiculos/detalles/2024-haval-h6-2-0-deluxe-4x4-at-5p/CP-AD-8540483,haval,h6,2.0 deluxe 4x4 at 5p.,2024,Automotora,4x4,used,40278,automatica,bencina,CLP,17490000,,2026-07-07,2026-07-08,4,1,+56226586369,+56226586369
CP-AD-8498370,https://www.chileautos.cl/vehiculos/detalles/2024-mini-cooper-2-0-s-sport-pack-4x2-hb-at-5p/CP-AD-8498370,mini,cooper,2.0 s sport pack 4x2 hb at 5p.,2024,Automotora,4x2,used,7000,automatica,bencina,CLP,34900000,,2026-07-07,2026-07-08,5,1,+56228698653,+56228698653
GI-AD-885726,https://www.chileautos.cl/vehiculos/detalles/porsche-macan-macan-r4-iii-5p-4x4-2-0-aut-2026/GI-AD-885726,porsche,macan,r4 iii 5p 4x4 2.0 aut 2026,2026,Automotora,4x4,used,78,automatica,bencina,CLP,65990000,,2026-07-07,2026-07-08,5,1,+56226587071,+56226587071
CP-AD-8534858,https://www.chileautos.cl/vehiculos/detalles/2021-chevrolet-spark-gt-1-2-activ-4x2-mt-5p/CP-AD-8534858,chevrolet,spark gt,gt 1.2 activ 4x2 mt 5p.,2021,Automotora,4x2,used,13100,manual,bencina,CLP,8990000,,2026-07-07,2026-07-08,5,1,+56228697298,+56228697298
